,epoch,x,y,z
30,1.53471E+12,2.338867188,-1.612304688,-1.215332031
31,1.53471E+12,0.862304688,-1.781738281,-1.153808594
32,1.53471E+12,-0.443359375,-2.036621094,-1.015625
33,1.53471E+12,-1.674316406,-2.325195313,-0.72265625
34,1.53471E+12,-2.493652344,-2.331542969,-0.513183594
35,1.53471E+12,-2.989746094,-2.146484375,-0.610351563
36,1.53471E+12,-3.174804688,-1.985839844,-0.861328125
37,1.53471E+12,-3.265625,-1.786621094,-0.918457031
38,1.53471E+12,-2.98828125,-1.484863281,-0.681152344
39,1.53471E+12,-2.649902344,-1.352539063,-0.413574219
40,1.53471E+12,-2.269042969,-1.297363281,-0.237792969
41,1.53471E+12,-1.84765625,-1.265625,-0.259277344
1,1.53471E+12,-1.607910156,-1.323730469,-0.403320313
2,1.53471E+12,-1.731933594,-1.555175781,-0.137695313
3,1.53471E+12,-1.651367188,-1.530273438,0.619628906
4,1.53471E+12,-1.33984375,-1.225585938,1.451660156
5,1.53471E+12,-1.321777344,-1.518554688,2.461425781
6,1.53471E+12,-1.751464844,-2.461425781,3.665039063
7,1.53471E+12,-2.484863281,-3.181640625,4.031738281
